Brand,Size,Brand Size,Chest,Length,Across Shoulder,Sleeve,Waist,Collar
Jack & Jones,39,S,40.9,29.5,17.3,,,
Jack & Jones,40,M,42.5,30.1,18.1,,,
Jack & Jones,42,L,44.1,30.7,18.9,,,
Jack & Jones,44,XL,47.2,31.3,19.7,,,
Jack & Jones,46,XXL,50.4,31.9,20.5,,,
Marks & Spencer,38,S,38,27.5,17.5,,,
Marks & Spencer,40,M,40,28,18,,,
Marks & Spencer,42,L,42,28.5,18.5,,,
Marks & Spencer,44,XL,44,29,19,,,
Marks & Spencer,46,XXL,46,29.5,19.5,,,
Marks & Spencer,48,XXXL,48,30,20,,,
United Colors of Benetton,38,S,39.8,28.4,16.9,,,
United Colors of Benetton,40,M,42.1,29.1,17.7,,,
United Colors of Benetton,42,L,44.5,29.9,18.5,,,
United Colors of Benetton,44,XL,46.9,30.7,19.3,,,
United Colors of Benetton,46,EL,49.2,31.5,19.7,,,
United Colors of Benetton,48,KL,51.6,32.3,20.5,,,
Tommy Hilfiger,36,XS,37.4,26.9,18.1,,,
Tommy Hilfiger,38,S,39.4,27.4,18.7,,,
Tommy Hilfiger,40,M,41.4,27.9,19.3,,,
Tommy Hilfiger,42,L,43.4,28.4,19.9,,,
Tommy Hilfiger,44,XL,46.2,29.4,20.9,,,
Tommy Hilfiger,46,2X,49.2,29.4,21,,,
Allen Solly,36,,38,29.5,15.5,,,
Allen Solly,38,,40.3,30,16.8,,,
Allen Solly,39,,41.8,30.3,17.5,,,
Allen Solly,40,,43.5,30.5,18.5,,,
Allen Solly,42,,46,30.8,19.5,,,
Allen Solly,44,,48.5,31,20.5,,,
Allen Solly,46,,51,31.3,21.5,,,
WROGN,39,S,42.3,29,16.5,,,
WROGN,40,M,44.3,29.5,17.3,,,
WROGN,42,L,46.3,30,18,,,
WROGN,44,XL,48.3,30.5,18.8,,,
WROGN,46,XXL,50.3,31,19.5,,,
VAN HEUSEN,38,,39.4,28.5,17.2,,,
VAN HEUSEN,38,,39.4,28.5,17.2,,,
VAN HEUSEN,38,,39.4,28.5,17.2,,,
VAN HEUSEN,38,,39.4,28.5,17.2,,,
Arrow,39,,39,39.5,17,,,
Arrow,40,,40,41.8,18,,,
Arrow,42,,42,45,19,,,
Arrow,44,,44,47.3,20,,,
Arrow,46,,46,50.5,21.3,,,
Arrow,48,,48,52.8,22,,,
U.S. Polo Assn.,39,S,39.5,28.3,17,8.8,,
U.S. Polo Assn.,40,M,41.8,29,18,9,,
U.S. Polo Assn.,42,L,45,29.8,19,9.3,,
U.S. Polo Assn.,44,XL,47.3,31,20,9.3,,
U.S. Polo Assn.,46,XXL,50.5,31.6,21.3,9.8,,
U.S. Polo Assn.,48,3XL,52.8,32.4,22,9.8,,
Park Avenue,38,,42.9,29.9,17.9,,,
Park Avenue,39,,44.5,30.1,18.2,,,
Park Avenue,40,,45.7,30.3,18.5,,,
Park Avenue,42,,49.2,30.7,19.1,,,
Park Avenue,44,,51.6,31.1,19.7,,,
Park Avenue,46,,54.3,31.5,20.3,,,
Louis Philippe,38,,40.3,30,16.8,,,
Louis Philippe,39,,41.8,30.3,17.5,,,
Louis Philippe,40,,43.5,30.5,18.5,,,
Louis Philippe,42,,46,30.8,19.5,,,
Louis Philippe,44,,48.5,31,20.5,,,
Louis Philippe,46,,51,31.3,21.5,,,
Louis Philippe,48,,53.5,31.5,22.5,,,
Blackberrys,36,,39,30,16.5,,38,
Blackberrys,38,,40,30,17,,39,
Blackberrys,39,,41,30,17.5,,40,
Blackberrys,40,,42,30.5,18,,42,
Blackberrys,42,,46,31,18.5,,45,
Blackberrys,44,,49,31,19,,48,
Blackberrys,46,,52,31.5,19.5,,51,
Celio,36,XS,37,27,17.5,,,
Celio,38,S,40,28,18,,,
Celio,40,M,43,29,18.5,,,
Celio,42,L,46,30,19,,,
Celio,44,XL,49,31,20,,,
Celio,46,XXL,52,32,21,,,
Peter England Casuals,38,,40.3,30,16.8,,,
Peter England Casuals,39,,41.8,30.3,17.5,,,
Peter England Casuals,40,,43.5,30.5,18.5,,,
Peter England Casuals,42,,46,30.8,19.5,,,
Peter England Casuals,44,,48.5,31,20.5,,,
Peter England Casuals,46,,51,31.3,21.5,,,
Fab India,38,S,44,31.3,18.3,,,
Fab India,40,M,46,31.8,19,,,
Fab India,42,L,48,32.8,19.8,,,
Fab India,44,XL,51,33.5,20.5,,,
